"name","value","changed","description"
"background_merges_mutations_concurrency_ratio","2",0,"Obsolete setting, does nothing."
"background_message_broker_schedule_pool_size","16",0,"Obsolete setting, does nothing."
"background_move_pool_size","8",0,"Obsolete setting, does nothing."
"background_pool_size","16",0,"Obsolete setting, does nothing."
"background_schedule_pool_size","128",0,"Obsolete setting, does nothing."
"backup_threads","16",0,"The maximum number of threads to execute BACKUP requests."
"bool_false_representation","false",0,"Text to represent bool value in TSV/CSV formats."
"bool_true_representation","true",0,"Text to represent bool value in TSV/CSV formats."
"calculate_text_stack_trace","1",0,"Calculate text stack trace in case of exceptions during query execution. This is the default. It requires symbol lookups that may slow down fuzzing tests when huge amount of wrong queries are executed. In normal cases you should not disable this option."
"cancel_http_readonly_queries_on_client_close","0",0,"Cancel HTTP readonly queries when a client closes the connection without waiting for response."
"cast_ipv4_ipv6_default_on_conversion_error","1",1,"CAST operator into IPv4, CAST operator into IPV6 type, toIPv4, toIPv6 functions will return default value instead of throwing exception on conversion error."
"cast_keep_nullable","0",0,"CAST operator keep Nullable for result data type"
"check_query_single_value_result","1",0,"Return check query result as single 1/0 value"
"check_referential_table_dependencies","0",0,"Check that DDL query (such as DROP TABLE or RENAME) will not break referential dependencies"
"check_table_dependencies","1",0,"Check that DDL query (such as DROP TABLE or RENAME) will not break dependencies"
"checksum_on_read","1",0,"Validate checksums on reading. It is enabled by default and should be always enabled in production. Please do not expect any benefits in disabling this setting. It may only be used for experiments and benchmarks. The setting only applicable for tables of MergeTree family. Checksums are always validated for other table engines and when receiving data over network."
"clear_index_after_drop","1",0,"Clear index files for old data, after ALTER DROP INDEX query. Adding a skip index with same name but different parameters as the old one that has been dropped with `clear_index_after_drop=0` requires `ALTER MATERIALIZE INDEX`"
"cluster_for_parallel_replicas","default",0,"Cluster for a shard in which current server is located"
"collect_hash_table_stats_during_aggregation","1",0,"Enable collecting hash table statistics to optimize memory allocation"
"column_names_for_schema_inference","",0,"The list of column names to use in schema inference for formats without column names. The format: 'column1,column2,column3,...'"
"compatibility","",0,"Changes other settings according to provided ClickHouse version. If we know that we changed some behaviour in ClickHouse by changing some settings in some version, this compatibility setting will control these settings"
"compatibility_ignore_auto_increment_in_create_table","0",0,"Ignore AUTO_INCREMENT keyword in column declaration if true, otherwise return error. It simplifies migration from MySQL"
"compatibility_ignore_collation_in_create_table","1",0,"Compatibility ignore collation in create table"
"compile_aggregate_expressions","1",0,"Compile aggregate functions to native code."
"compile_expressions","1",0,"Compile some scalar functions and operators to native code."
"compile_sort_description","1",0,"Compile sort description to native code."
"connect_timeout","10",0,"Connection timeout if there are no replicas."
"connect_timeout_with_failover_ms","1000",1,"Connection timeout for selecting first healthy replica."
"connect_timeout_with_failover_secure_ms","100",0,"Connection timeout for selecting first healthy replica (for secure connections)."
"connection_pool_max_wait_ms","0",0,"The wait time when the connection pool is full."
"connections_with_failover_max_tries","3",0,"The maximum number of attempts to connect to replicas."
"convert_query_to_cnf","0",0,"Convert SELECT query to CNF"
"count_distinct_implementation","uniqExact",0,"What aggregate function to use for implementation of count(DISTINCT ...)"
"count_distinct_optimization","0",0,"Rewrite count distinct to subquery of group by"
"cross_to_inner_join_rewrite","1",0,"Use inner join instead of comma/cross join if there're joining expressions in the WHERE section. Values: 0 - no rewrite, 1 - apply if possible for comma/cross, 2 - force rewrite all comma joins, cross - if possible"
"data_type_default_nullable","0",0,"Data types without NULL or NOT NULL will make Nullable"
"database_atomic_wait_for_drop_and_detach_synchronously","0",0,"When executing DROP or DETACH TABLE in Atomic database, wait for table data to be finally dropped or detached."
"database_replicated_allow_only_replicated_engine","0",0,"Allow to create only Replicated tables in database with engine Replicated"
"database_replicated_allow_replicated_engine_arguments","1",0,"Allow to create only Replicated tables in database with engine Replicated with explicit arguments"
"database_replicated_always_detach_permanently","0",0,"Execute DETACH TABLE as DETACH TABLE PERMANENTLY if database engine is Replicated"
"database_replicated_ddl_output","1",0,"Obsolete setting, does nothing."
"database_replicated_enforce_synchronous_settings","0",0,"Enforces synchronous waiting for some queries (see also database_atomic_wait_for_drop_and_detach_synchronously, mutation_sync, alter_sync). Not recommended to enable these settings."
"database_replicated_initial_query_timeout_sec","300",0,"How long initial DDL query should wait for Replicated database to precess previous DDL queue entries"
"date_time_input_format","basic",0,"Method to read DateTime from text input formats. Possible values: 'basic', 'best_effort' and 'best_effort_us'."
"date_time_output_format","simple",0,"Method to write DateTime to text output. Possible values: 'simple', 'iso', 'unix_timestamp'."
"decimal_check_overflow","1",0,"Check overflow of decimal arithmetic/comparison operations"
"deduplicate_blocks_in_dependent_materialized_views","0",0,"Should deduplicate blocks for materialized views if the block is not a duplicate for the table. Use true to always deduplicate in dependent tables."
"default_database_engine","Ordinary",1,"Obsolete setting, does nothing."
"default_max_bytes_in_join","1000000000",0,"Maximum size of right-side table if limit is required but max_bytes_in_join is not set."
"default_table_engine","None",0,"Default table engine used when ENGINE is not set in CREATE statement."
"describe_extend_object_types","0",0,"Deduce concrete type of columns of type Object in DESCRIBE query"
"describe_include_subcolumns","0",0,"If true, subcolumns of all table columns will be included into result of DESCRIBE query"
"dialect","clickhouse",0,"Which dialect will be used to parse query"
"distinct_overflow_mode","throw",0,"What to do when the limit is exceeded."
"distributed_aggregation_memory_efficient","1",1,"Is the memory-saving mode of distributed aggregation enabled."
"distributed_connections_pool_size","1024",0,"Maximum number of connections with one remote server in the pool."
"distributed_ddl_entry_format_version","3",0,"Compatibility version of distributed DDL (ON CLUSTER) queries"
"distributed_ddl_output_mode","throw",0,"Format of distributed DDL query result"
"distributed_ddl_task_timeout","180",0,"Timeout for DDL query responses from all hosts in cluster. If a ddl request has not been performed on all hosts, a response will contain a timeout error and a request will be executed in an async mode. Negative value means infinite. Zero means async mode."
"distributed_directory_monitor_batch_inserts","0",0,"Should StorageDistributed DirectoryMonitors try to batch individual inserts into bigger ones."
"distributed_directory_monitor_max_sleep_time_ms","30000",0,"Maximum sleep time for StorageDistributed DirectoryMonitors, it limits exponential growth too."
"distributed_directory_monitor_sleep_time_ms","100",0,"Sleep time for StorageDistributed DirectoryMonitors, in case of any errors delay grows exponentially."
"distributed_directory_monitor_split_batch_on_failure","0",0,"Should StorageDistributed DirectoryMonitors try to split batch into smaller in case of failures."
"distributed_group_by_no_merge","0",0,"If 1, Do not merge aggregation states from different servers for distributed queries (shards will process query up to the Complete stage, initiator just proxies the data from the shards). If 2 the initiator will apply ORDER BY and LIMIT stages (it is not in case when shard process query up to the Complete stage)"
"distributed_product_mode","deny",0,"How are distributed subqueries performed inside IN or JOIN sections?"
"distributed_push_down_limit","1",0,"If 1, LIMIT will be applied on each shard separately. Usually you don't need to use it, since this will be done automatically if it is possible, i.e. for simple query SELECT FROM LIMIT."
"distributed_replica_error_cap","1000",0,"Max number of errors per replica, prevents piling up an incredible amount of errors if replica was offline for some time and allows it to be reconsidered in a shorter amount of time."
"distributed_replica_error_half_life","60",0,"Time period reduces replica error counter by 2 times."
"distributed_replica_max_ignored_errors","0",0,"Number of errors that will be ignored while choosing replicas"
"do_not_merge_across_partitions_select_final","0",0,"Merge parts only in one partition in select final"
"drain_timeout","3",0,"Timeout for draining remote connections, -1 means synchronous drain without ignoring errors"
"empty_result_for_aggregation_by_constant_keys_on_empty_set","1",0,"Return empty result when aggregating by constant keys on empty set."
"empty_result_for_aggregation_by_empty_set","0",0,"Return empty result when aggregating without keys on empty set."
"enable_debug_queries","0",0,"Obsolete setting, does nothing."
"enable_early_constant_folding","1",0,"Enable query optimization where we analyze function and subqueries results and rewrite query if there're constants there"
"enable_extended_results_for_datetime_functions","0",0,"Enable date functions like toLastDayOfMonth return Date32 results (instead of Date results) for Date32/DateTime64 arguments."
"enable_filesystem_cache","1",0,"Use cache for remote filesystem. This setting does not turn on/off cache for disks (must be done via disk config), but allows to bypass cache for some queries if intended"
"enable_filesystem_cache_log","0",0,"Allows to record the filesystem caching log for each query"
"enable_filesystem_cache_on_lower_level","1",0,"If read buffer supports caching inside threadpool, allow it to do it, otherwise cache outside ot threadpool. Do not use this setting, it is needed for testing"
"enable_filesystem_cache_on_write_operations","0",0,"Write into cache on write operations. To actually work this setting requires be added to disk config too"
"enable_filesystem_read_prefetches_log","0",0,"Log to system.filesystem prefetch_log during query. Should be used only for testing or debugging, not recommended to be turned on by default"
"enable_global_with_statement","1",0,"Propagate WITH statements to UNION queries and all subqueries"
"enable_http_compression","0",0,"Compress the result if the client over HTTP said that it understands data compressed by gzip or deflate."
"enable_memory_bound_merging_of_aggregation_results","0",0,"Enable memory bound merging strategy for aggregation. Set it to true only if all nodes of your clusters have versions >= 22.12."
"enable_multiple_prewhere_read_steps","0",0,"Move more conditions from WHERE to PREWHERE and do reads from disk and filtering in multiple steps if there are multiple conditions combined with AND"
"enable_optimize_predicate_expression","1",0,"If it is set to true, optimize predicates to subqueries."
"enable_optimize_predicate_expression_to_final_subquery","1",0,"Allow push predicate to final subquery."
"enable_positional_arguments","1",0,"Enable positional arguments in ORDER BY, GROUP BY and LIMIT BY"
"enable_reads_from_query_cache","1",0,"Enable reading results of SELECT queries from the query cache"
"enable_s3_requests_logging","0",0,"Enable very explicit logging of S3 requests. Makes sense for debug only."
"enable_scalar_subquery_optimization","1",0,"If it is set to true, prevent scalar subqueries from (de)serializing large scalar values and possibly avoid running the same subquery more than once."
"enable_software_prefetch_in_aggregation","1",0,"Enable use of software prefetch in aggregation"
"enable_unaligned_array_join","0",0,"Allow ARRAY JOIN with multiple arrays that have different sizes. When this settings is enabled, arrays will be resized to the longest one."
"enable_writes_to_query_cache","1",0,"Enable storing results of SELECT queries in the query cache"
"engine_file_allow_create_multiple_files","0",0,"Enables or disables creating a new file on each insert in file engine tables if format has suffix."
"engine_file_empty_if_not_exists","0",0,"Allows to select data from a file engine table without file"
"engine_file_truncate_on_insert","0",0,"Enables or disables truncate before insert in file engine tables"
"errors_output_format","CSV",0,"Method to write Errors to text output."
"exact_rows_before_limit","0",0,"When enabled, ClickHouse will provide exact value for rows_before_limit_at_least statistic, but with the cost that the data before limit will have to be read completely"
"except_default_mode","ALL",0,"Set default mode in EXCEPT query. Possible values: empty string, 'ALL', 'DISTINCT'. If empty, query without mode will throw exception."
"external_storage_connect_timeout_sec","10",0,"Connect timeout in seconds. Now supported only for MySQL"
"external_storage_max_read_bytes","0",0,"Limit maximum number of bytes when table with external engine should flush history data. Now supported only for MySQL table engine, database engine, dictionary and MaterializedMySQL. If equal to 0, this setting is disabled"
"external_storage_max_read_rows","0",0,"Limit maximum number of rows when table with external engine should flush history data. Now supported only for MySQL table engine, database engine, dictionary and MaterializedMySQL. If equal to 0, this setting is disabled"
"external_storage_rw_timeout_sec","300",0,"Read/write timeout in seconds. Now supported only for MySQL"
"external_table_functions_use_nulls","1",0,"If it is set to true, external table functions will implicitly use Nullable type if needed. Otherwise NULLs will be substituted with default values. Currently supported only by 'mysql', 'postgresql' and 'odbc' table functions."
"external_table_strict_query","0",0,"If it is set to true, transforming expression to local filter is forbidden for queries to external tables."
"extremes","0",0,"Calculate minimums and maximums of the result columns. They can be output in JSON-formats."
"fallback_to_stale_replicas_for_distributed_queries","1",0,"Suppose max_replica_delay_for_distributed_queries is set and all replicas for the queried table are stale. If this setting is enabled, the query will be performed anyway, otherwise the error will be reported."
"filesystem_cache_max_download_size","137438953472",0,"Max remote filesystem cache size that can be downloaded by a single query"
"filesystem_prefetch_max_memory_usage","1073741824",0,"Maximum memory usage for prefetches. Zero means unlimited"
"filesystem_prefetch_min_bytes_for_single_read_task","8388608",0,"Do not parallelize within one file read less than this amount of bytes. E.g. one reader will not receive a read task of size less than this amount. This setting is recommended to avoid spikes of time for aws getObject requests to aws"
"filesystem_prefetch_step_bytes","0",0,"Prefetch step in bytes. Zero means `auto` - approximately the best prefetch step will be auto deduced, but might not be 100% the best. The actual value might be different because of setting filesystem_prefetch_min_bytes_for_single_read_task"
"filesystem_prefetch_step_marks","0",0,"Prefetch step in marks. Zero means `auto` - approximately the best prefetch step will be auto deduced, but might not be 100% the best. The actual value might be different because of setting filesystem_prefetch_min_bytes_for_single_read_task"
"filesystem_prefetches_limit","0",0,"Maximum number of prefetches. Zero means unlimited. A setting `filesystem_prefetches_max_memory_usage` is more recommended if you want to limit the number of prefetches"
"final","0",0,"Query with the FINAL modifier by default. If the engine does not support final, it does not have any effect. On queries with multiple tables final is applied only on those that support it. It also works on distributed tables"
"flatten_nested","1",0,"If true, columns of type Nested will be flatten to separate array columns instead of one array of tuples"
"force_aggregate_partitions_independently","0",0,"Force the use of optimization when it is applicable, but heuristics decided not to use it"
"force_aggregation_in_order","0",0,"Force use of aggregation in order on remote nodes during distributed aggregation. PLEASE, NEVER CHANGE THIS SETTING VALUE MANUALLY!"
"force_data_skipping_indices","",0,"Comma separated list of strings or literals with the name of the data skipping indices that should be used during query execution, otherwise an exception will be thrown."
"force_grouping_standard_compatibility","1",0,"Make GROUPING function to return 1 when argument is not used as an aggregation key"
"force_index_by_date","0",0,"Throw an exception if there is a partition key in a table, and it is not used."
"force_index_coverage_ratio","0",0,"Minimum coverage (rows with materialized index) ratio of indices specified by MergeTree setting `indices_require_coverage`, throws exception if not met (0 means disabled)."
"force_optimize_projection","0",0,"If projection optimization is enabled, SELECT queries need to use projection"
"force_optimize_skip_unused_shards","0",0,"Throw an exception if unused shards cannot be skipped (1 - throw only if the table has the sharding key, 2 - always throw."
"force_optimize_skip_unused_shards_nesting","0",0,"Same as force_optimize_skip_unused_shards, but accept nesting level until which it will work."
"force_primary_key","0",0,"Throw an exception if there is primary key in a table, and it is not used."
"force_remove_data_recursively_on_drop","0",0,"Recursively remove data on DROP query. Avoids 'Directory not empty' error, but may silently remove detached data"
"format_avro_schema_registry_url","",0,"For AvroConfluent format: Confluent Schema Registry URL."
"format_binary_max_string_size","1073741824",0,"The maximum allowed size for String in RowBinary format. It prevents allocating large amount of memory in case of corrupted data. 0 means there is no limit"
"format_capn_proto_enum_comparising_mode","by_values",0,"How to map ClickHouse Enum and CapnProto Enum"
"format_csv_allow_double_quotes","1",0,"If it is set to true, allow strings in double quotes."
"format_csv_allow_single_quotes","0",0,"If it is set to true, allow strings in single quotes."
"format_csv_delimiter",",",0,"The character to be considered as a delimiter in CSV data. If setting with a string, a string has to have a length of 1."
"format_csv_null_representation","\N",0,"Custom NULL representation in CSV format"
"format_custom_escaping_rule","Escaped",0,"Field escaping rule (for CustomSeparated format)"
"format_custom_field_delimiter","	",0,"Delimiter between fields (for CustomSeparated format)"
"format_custom_result_after_delimiter","",0,"Suffix after result set (for CustomSeparated format)"
"format_custom_result_before_delimiter","",0,"Prefix before result set (for CustomSeparated format)"
"format_custom_row_after_delimiter","
",0,"Delimiter after field of the last column (for CustomSeparated format)"
"format_custom_row_before_delimiter","",0,"Delimiter before field of the first column (for CustomSeparated format)"
"format_custom_row_between_delimiter","",0,"Delimiter between rows (for CustomSeparated format)"
"format_json_object_each_row_column_for_object_name","",0,"The name of column that will be used as object names in JSONObjectEachRow format. Column type should be String"
"format_regexp","",0,"Regular expression (for Regexp format)"
"format_regexp_escaping_rule","Raw",0,"Field escaping rule (for Regexp format)"
"format_regexp_skip_unmatched","0",0,"Skip lines unmatched by regular expression (for Regexp format)"
"format_schema","",0,"Schema identifier (used by schema-based formats)"
"format_template_resultset","",0,"Path to file which contains format string for result set (for Template format)"
"format_template_row","",0,"Path to file which contains format string for rows (for Template format)"
"format_template_rows_between_delimiter","
",0,"Delimiter between rows (for Template format)"
"format_tsv_null_representation","\N",0,"Custom NULL representation in TSV format"
"fsync_metadata","1",0,"Do fsync after changing metadata for tables and databases (.sql files). Could be disabled in case of poor latency on server with high load of DDL queries and high load of disk subsystem."
"function_implementation","",0,"Choose function implementation for specific target or variant (experimental). If empty enable all of them."
"function_range_max_elements_in_block","500000000",0,"Maximum number of values generated by function 'range' per block of data (sum of array sizes for every row in a block, see also 'max_block_size' and 'min_insert_block_size_rows'). It is a safety threshold."
"glob_expansion_max_elements","1000",0,"Maximum number of allowed addresses (For external storages, table functions, etc)."
"grace_hash_join_initial_buckets","1",0,"Initial number of grace hash join buckets"
"grace_hash_join_max_buckets","1024",0,"Limit on the number of grace hash join buckets"
"group_by_overflow_mode","throw",0,"What to do when the limit is exceeded."
"group_by_two_level_threshold","100000",0,"From what number of keys, a two-level aggregation starts. 0 - the threshold is not set."
"group_by_two_level_threshold_bytes","50000000",0,"From what size of the aggregation state in bytes, a two-level aggregation begins to be used. 0 - the threshold is not set. Two-level aggregation is used when at least one of the thresholds is triggered."
"group_by_use_nulls","0",0,"Treat columns mentioned in ROLLUP, CUBE or GROUPING SETS as Nullable"
"handle_kafka_error_mode","default",0,"Obsolete setting, does nothing."
"hdfs_create_new_file_on_insert","0",0,"Enables or disables creating a new file on each insert in hdfs engine tables"
"hdfs_replication","0",0,"The actual number of replications can be specified when the hdfs file is created."
"hdfs_truncate_on_insert","0",0,"Enables or disables truncate before insert in s3 engine tables"
"hedged_connection_timeout_ms","100",0,"Connection timeout for establishing connection with replica for Hedged requests"
"hsts_max_age","0",0,"Expired time for hsts. 0 means disable HSTS."
"http_connection_timeout","1",0,"HTTP connection timeout."
"http_headers_progress_interval_ms","100",0,"Do not send HTTP headers X-ClickHouse-Progress more frequently than at each specified interval."
"http_max_chunk_size","107374182400",0,"Maximum value of a chunk size in HTTP chunked transfer encoding"
"http_max_field_name_size","1048576",0,"Maximum length of field name in HTTP header"
"http_max_field_value_size","1048576",0,"Maximum length of field value in HTTP header"
"http_max_fields","1000000",0,"Maximum number of fields in HTTP header"
"http_max_multipart_form_data_size","1073741824",0,"Limit on size of multipart/form-data content. This setting cannot be parsed from URL parameters and should be set in user profile. Note that content is parsed and external tables are created in memory before start of query execution. And this is the only limit that has effect on that stage (limits on max memory usage and max execution time have no effect while reading HTTP form data)."
"http_max_tries","10",0,"Max attempts to read via http."
"http_max_uri_size","1048576",0,"Maximum URI length of HTTP request"
"http_native_compression_disable_checksumming_on_decompress","0",0,"If you uncompress the POST data from the client compressed by the native format, do not check the checksum."
"http_receive_timeout","180",0,"HTTP receive timeout"
"http_retry_initial_backoff_ms","100",0,"Min milliseconds for backoff, when retrying read via http"
"http_retry_max_backoff_ms","10000",0,"Max milliseconds for backoff, when retrying read via http"
"http_send_timeout","180",0,"HTTP send timeout"
"http_skip_not_found_url_for_globs","1",0,"Skip url's for globs with HTTP_NOT_FOUND error"
"http_zlib_compression_level","3",0,"Compression level - used if the client on HTTP said that it understands data compressed by gzip or deflate."
"idle_connection_timeout","3600",0,"Close idle TCP connections after specified number of seconds."
"ignore_data_skipping_indices","",0,"Comma separated list of strings or literals with the name of the data skipping indices that should be excluded during query execution."
"implicit_transaction","0",0,"If enabled and not already inside a transaction, wraps the query inside a full transaction (begin + commit or rollback)"
"input_format_allow_errors_num","0",0,"Maximum absolute amount of errors while reading text formats (like CSV, TSV). In case of error, if at least absolute or relative amount of errors is lower than corresponding value, will skip until next line and continue."
"input_format_allow_errors_ratio","0",0,"Maximum relative amount of errors while reading text formats (like CSV, TSV). In case of error, if at least absolute or relative amount of errors is lower than corresponding value, will skip until next line and continue."
"input_format_allow_seeks","1",0,"Allow seeks while reading in ORC/Parquet/Arrow input formats"
"input_format_arrow_allow_missing_columns","0",0,"Allow missing columns while reading Arrow input formats"
"input_format_arrow_case_insensitive_column_matching","0",0,"Ignore case when matching Arrow columns with CH columns."
"input_format_arrow_import_nested","0",0,"Allow to insert array of structs into Nested table in Arrow input format."
"input_format_arrow_skip_columns_with_unsupported_types_in_schema_inference","0",0,"Skip columns with unsupported types while schema inference for format Arrow"
"input_format_avro_allow_missing_fields","0",0,"For Avro/AvroConfluent format: when field is not found in schema use default value instead of error"
"input_format_avro_null_as_default","0",0,"For Avro/AvroConfluent format: insert default in case of null and non Nullable column"
"input_format_bson_skip_fields_with_unsupported_types_in_schema_inference","0",0,"Skip fields with unsupported types while schema inference for format BSON."
"input_format_capn_proto_skip_fields_with_unsupported_types_in_schema_inference","0",0,"Skip columns with unsupported types while schema inference for format CapnProto"
"input_format_csv_arrays_as_nested_csv","0",0,"When reading Array from CSV, expect that its elements were serialized in nested CSV and then put into string. Example: ""[""""Hello"""", """"world"""", """"42"""""""" TV""""]"". Braces around array can be omitted."
"input_format_csv_detect_header","1",0,"Automatically detect header with names and types in CSV format"
"input_format_csv_empty_as_default","1",0,"Treat empty fields in CSV input as default values."
"input_format_csv_enum_as_number","0",0,"Treat inserted enum values in CSV formats as enum indices"
"input_format_csv_skip_first_lines","0",0,"Skip specified number of lines at the beginning of data in CSV format"
